@id,@lat,@lon,highway,crossing,traffic_calming
6119066789,19.2046224,72.9687102,traffic_signals,,
6130158660,19.1024838,72.9199950,traffic_signals,,
6133809574,18.9371680,72.8272697,traffic_signals,,
6133862185,19.1261783,72.8937870,traffic_signals,,
6133862186,19.1262810,72.8938915,traffic_signals,,
6133891680,19.0544397,72.8461767,traffic_signals,,
6133923990,18.9986743,72.8116108,traffic_signals,,
6133923991,18.9986743,72.8115239,traffic_signals,,
6133947523,19.1248251,72.8930896,traffic_signals,,
6133947524,19.1251279,72.8932179,traffic_signals,,
6136332322,19.0177434,72.8730507,traffic_signals,,
6165302134,18.9951414,72.8313294,traffic_signals,,
6165302144,18.9866823,72.8317461,traffic_signals,,
6165302145,18.9865428,72.8317571,traffic_signals,,
6165302146,18.9866265,72.8318267,traffic_signals,,
6165302148,18.9867589,72.8318303,traffic_signals,,
6165302165,19.0062150,72.8308903,traffic_signals,uncontrolled,
6165603878,19.0135821,72.8337450,traffic_signals,,
6165604797,19.0189086,72.8360765,traffic_signals,,
6165604811,19.0251787,72.8404563,traffic_signals,,
6165604812,19.0250013,72.8405398,traffic_signals,,
6165604823,19.0251812,72.8455399,traffic_signals,,
6165604842,19.0457065,72.8423904,traffic_signals,,
6165604846,19.0457283,72.8424680,traffic_signals,,
6167532214,18.9986350,72.8173426,traffic_signals,,
6167532215,18.9987797,72.8173984,traffic_signals,,
6167532216,18.9984703,72.8173946,traffic_signals,,
6167841731,18.9796310,72.8320592,traffic_signals,,
6167841739,18.9746566,72.8317720,traffic_signals,,
6167841744,18.9747426,72.8320614,traffic_signals,,
6167841745,18.9779118,72.8112029,traffic_signals,,
6167841746,18.9780141,72.8111482,traffic_signals,,
6167841747,18.9780395,72.8112932,traffic_signals,,
6167841748,18.9784621,72.8116312,traffic_signals,,
6167841754,18.9780326,72.8119606,traffic_signals,,
6167881714,18.9773072,72.8114646,traffic_signals,,
6168435927,18.9795080,72.8187815,traffic_signals,,
